S1	S2	S3
0	0	0
1	0	0
0	2	0
3	3	3
1	0	1
0	0	5
0	0	0
0	0	0
2	0	0
13	7	10
49	32	36
129	104	130
100	90	93
9	7	12
1	1	3
0	0	0
1	1	3
0	1	3
58	38	47
0	0	1
133	121	140
263	191	202
14	9	13
21	11	10
91	66	102
28	23	24
95	91	102
2	0	5
3	2	0
13	30	21
142	83	115
21	5	9
11	4	3
25	25	16
6	1	4
5	11	10
4	6	6
19	15	15
20	18	19
8	10	7
4	8	6
1052	869	966
307	270	292
17	11	21
7	6	8
15	11	8
57	38	57
50	34	62
1	0	0
1	1	0
4	3	2
9	6	13
44	31	33
4	2	4
2	1	2
592	515	579
430	299	358
317	277	316
1121	825	930
21	11	17
129	131	111
1765	1320	1430
123	82	77
39	27	37
77	58	62
32	27	21
47	47	42
81	47	79
14	8	10
20	29	25
221	210	230
80	77	84
11	5	6
2	5	2
6	5	6
13	14	7
52	35	23
18	12	14
32	31	34
24	25	41
30	24	23
61	50	45
27	18	22
49	39	39
78	58	49
20	14	15
47	37	38
13	23	18
35	42	41
59	44	36
5	5	11
12	4	13
15	18	13
12	18	18
114	101	93
60	62	52
64	48	47
37	36	24
2	2	0
155	161	168
355	269	279
28	18	30
53	49	42
56	23	38
21	9	12
71	69	70
17	11	14
579	430	564
469	363	428
9	11	16
1	0	1
4	2	1
2	2	1
18	16	29
0	1	3
1	1	0
4	3	7
5	3	7
6	11	17
146	128	129
122	105	93
187	159	177
3	1	1
112	86	64
46	31	46
142	107	112
27	23	23
3	0	4
12	8	7
252	198	245
148	116	125
145	133	159
16	12	10
15	8	15
17	14	9
3	0	4
12	8	7
913	808	888
16	13	16
37	30	34
14	6	12
35	21	18
2	0	0
5	5	2
8	7	3
2	2	5
2	1	1
12	9	10
3	6	12
49	42	42
85	77	64
10	6	3
4	6	4
0	0	0
17	15	18
14	9	11
19	25	26
17	19	14
9	11	12
5	3	2
101	85	88
0	0	1
1	2	2
214	181	162
137	108	92
225	187	173
128	103	84
7	6	4
8	8	7
70	57	66
27	23	24
19	6	8
11	8	10
12	7	10
2	3	3
7	8	16
31	29	27
62	71	66
114	117	138
173	166	153
25	22	16
28	15	27
3	0	0
20	12	14
28	19	33
18	13	16
15	22	21
0	2	0
1	7	6
11	5	9
4	13	7
76	58	66
142	116	102
16	12	17
45	32	33
22	14	14
30	12	22
222	186	210
17	28	30
9	4	12
9	7	6
1	0	2
3	4	2
31	27	23
7	7	11
44	29	49
42	37	56
2	2	2
14	12	15
1	1	0
8	8	3
3	1	2
0	1	2
71	42	56
3	8	7
0	0	1
4	3	1
1	1	1
48	34	33
71	56	58
14	13	12
11	9	15
140	85	110
453	304	316
123	72	91
162	102	144
381	264	291
20	15	21
101	48	70
207	146	193
3	1	3
428	376	406
166	109	117
6	6	8
10	11	18
2	2	2
2	0	0
1	3	1
1	0	0
6	8	9
17	12	8
10	5	7
41	18	18
48	29	38
2	2	2
0	2	3
1	1	0
1	1	2
2	1	2
9	7	6
648	523	584
76	52	68
3	1	1
110	87	114
149	129	168
3	0	5
18	16	15
41	39	49
705	613	706
0	0	0
21	16	23
7	4	5
3	3	0
10	4	6
4	6	4
35	35	27
1	1	3
84	78	85
122	105	96
172	192	266
392	390	439
2	1	2
21	17	15
9	7	6
0	1	2
2	2	1
2	4	3
6	1	6
1	0	1
1	3	1
0	0	0
0	0	0
0	0	0
750	670	683
5	5	5
0	0	0
5	5	5
2	4	5
1	0	0
48	22	45
30	26	29
53	31	44
33	26	27
18	9	15
294	236	263
1395	1219	1278
19	11	10
17	20	22
49	31	36
15	8	6
13	20	10
38	27	36
6	2	2
2	1	0
1	1	2
6	2	2
2	1	0
8	4	9
1	1	2
2	0	0
0	1	0
0	0	0
3	5	2
3	4	4
0	4	2
19	21	9
25	24	23
41	23	34
6	10	6
9	5	4
9	7	6
34	30	23
36	23	39
52	30	25
61	59	44
27	25	25
1	0	1
2	2	1
2	4	0
4	6	5
0	0	0
49	33	55
22	19	20
8	3	4
16	7	14
7	7	8
0	0	0
21	12	9
1	2	1
2	2	4
6	9	7
0	0	0
29	19	37
112	97	97
7	5	1
79	64	62
6	5	4
22	27	25
9	7	11
33	30	30
18	5	9
1	1	2
0	0	0
0	5	7
0	2	0
0	0	1
153	142	149
0	0	0
4	2	2
55	51	44
50	45	32
10	6	12
20	16	23
4	4	3
3	5	2
7	8	4
9	0	4
5	2	3
0	1	1
365	319	342
266	206	237
1	6	3
77	73	77
751	629	785
299	263	287
832	715	824
247	230	241
45	67	79
9	1	5
26	31	32
10	7	7
235	219	252
1	1	1
157	125	131
0	0	1
79	61	83
91	64	77
217	227	211
280	279	283
539	445	535
308	364	412
501	426	477
3	2	3
102	100	113
267	206	263
220	138	177
18	13	16
151	108	113
1	3	6
5	15	11
9	14	12
183	142	197
1	0	1
1	1	4
16	14	8
1	1	0
77	75	101
183	142	197
1	1	2
7	7	7
1	0	0
0	2	6
66	50	75
31	24	34
6	8	12
439	402	448
7	6	11
83	77	80
4	3	1
10	14	15
65	82	87
0	0	0
2	1	1
1	1	0
28	11	20
3	6	12
5	7	11
54	49	48
8	5	6
1	3	1
22	25	23
101	78	92
3	2	2
1	1	1
23	14	22
214	142	171
4	4	2
3	1	4
0	1	2
2	2	2
1	0	2
4	0	5
1	0	2
23	23	28
273	268	264
357	326	307
0	1	3
47	36	37
210	255	232
0	1	0
0	1	1
0	0	0
12	14	15
6	5	8
2	5	7
6	4	6
16	7	10
29	20	23
41	29	34
12	15	7
19	14	23
31	13	13
1	1	4
89	60	79
71	58	65
23	29	19
205	193	195
142	95	127
62	52	57
1	1	2
18	18	20
171	136	150
8	11	17
18	13	6
209	156	162
61	40	47
154	110	117
16	9	12
0	1	0
3200	2873	3039
4	3	2
593	453	519
123	117	104
34	27	42
61	52	72
2	5	7
23	16	12
158	129	129
51	48	53
13	13	10
3	0	2
2	4	5
131	146	130
19	19	23
46	29	40
3	2	6
3	3	7
119	120	102
22	12	19
371	293	353
462	433	487
0	0	0
2	0	0
0	0	1
1	0	0
27	31	32
0	0	0
74	49	81
16	13	21
8	1	4
11	12	11
60	56	53
27	16	23
0	3	0
3	5	4
128	98	120
65	53	53
199	181	207
89	81	87
18	16	18
7	10	12
3	6	3
76	48	80
8	9	7
0	1	1
1	0	2
2	6	2
1	0	2
15	12	11
55	33	41
8	9	16
8	10	11
16	30	15
5	5	3
2	1	1
0	0	0
1	6	8
587	445	461
91	89	92
232	241	236
23	18	19
22	18	22
30	39	31
35	33	41
148	88	121
2	1	1
301	275	294
236	235	253
178	239	186
7	2	3
11	11	16
227	208	202
173	163	159
33	29	29
138	132	126
4	2	2
8	6	7
90	89	97
138	122	117
32	25	27
81	79	84
194	139	162
44	58	64
73	50	57
34	27	15
15	11	8
314	263	265
88	76	76
262	180	209
85	80	69
