S1	S2	S3
1	1	1
3	2	5
1	1	3
51	46	36
27	16	14
11	28	13
72	64	67
8	15	17
4	6	1
82	75	64
260	298	242
8	6	5
3	4	6
49	53	57
366	353	300
5	7	9
1	1	1
1	1	1
2	1	0
0	0	0
2	1	3
2	2	1
68	53	43
448	446	417
773	779	630
5	8	6
34	35	19
277	304	267
2	0	1
0	2	1
0	3	0
40	38	38
12	10	13
15	20	10
9	10	13
43	39	53
68	57	48
100	92	104
33	32	25
67	49	58
51	40	60
8	8	14
319	393	281
195	230	216
66	73	83
263	267	234
162	138	157
98	70	77
9	1	2
10	13	20
1372	1401	1170
95	88	89
13	26	20
350	412	348
85	107	87
221	230	210
19	15	18
2	0	0
2483	2434	2249
16	13	13
662	690	547
116	116	120
43	41	32
66	68	71
8	8	5
50	48	29
427	396	334
121	110	83
12	26	13
3	5	1
11	16	5
136	150	115
46	35	27
91	98	72
2	1	6
5	1	4
105	123	92
65	59	58
618	619	580
761	912	733
31	41	35
1	1	0
0	0	1
0	1	0
42	35	46
3	1	1
65	59	54
27	30	28
10	15	5
21	26	18
106	133	125
39	56	37
4	3	1
5	2	2
366	375	307
96	91	99
870	938	835
97	103	82
14	16	11
32	42	38
12	14	3
170	182	154
13	19	9
2	2	1
2	0	2
3	3	8
6	8	16
11	18	17
76	78	67
14	19	11
8	14	15
40	38	43
8	7	9
0	0	1
5	0	2
10	12	7
1012	1152	953
122	129	126
490	449	411
143	131	131
76	68	58
207	155	169
49	42	43
276	271	251
8	2	6
322	266	286
219	247	277
334	359	339
5	3	6
28	23	23
414	387	319
458	489	426
67	71	84
203	193	205
0	1	4
6	7	5
130	153	97
199	210	192
52	61	54
96	79	83
141	126	129
73	85	73
64	57	51
21	14	23
7	22	21
319	341	293
80	70	58
389	467	396
116	96	106
289	327	270
19	18	14
105	106	95
91	84	76
103	95	77
21	26	27
18	24	24
299	341	278
140	153	134
93	99	99
56	38	47
20	18	15
147	204	201
1466	1455	1251
240	233	220
35	29	22
8	10	9
18	22	17
13	7	9
12	10	10
9	9	5
14	8	5
27	37	30
3	8	1
298	294	263
90	98	76
115	136	121
27	44	39
29	24	16
118	81	82
1	0	2
21	11	17
62	59	57
2	1	2
177	159	153
143	169	162
0	0	0
0	1	0
6	13	8
19	7	10
138	146	143
40	38	41
294	315	295
8	9	6
0	0	0
1	3	2
641	591	648
229	239	191
15	7	10
81	90	72
2	6	8
32	24	24
6	12	5
220	295	231
55	71	65
16	13	7
140	143	128
49	66	43
42	61	37
16	23	15
90	90	76
186	217	202
21	23	14
423	447	455
107	108	115
182	188	144
24	29	26
11	11	8
102	106	93
7	8	7
56	44	41
11	6	7
1	3	0
0	3	3
347	320	320
205	199	179
32	23	21
1	3	0
58	56	51
2	4	1
1	3	3
1261	1292	1062
85	96	96
131	117	119
44	42	23
0	3	0
212	159	194
77	66	72
